model,phase,batch_size,torch_eager_median_ms,torch_compile_median_ms,triton_eager_median_ms,triton_compile_median_ms,triton_compile_speedup_median,triton_compile_speedup_min,triton_compile_speedup_max,target_order_rounds,tuned_vs_default_compile_speedup,eager_change_vs_previous_pct
spiking_vgg16_bn,inference,64,389.20372009277344,163.17578887939453,176.89585876464844,150.71858978271484,1.1736830806317413,1.1735694506844065,1.1767833951624802,0,1.5457591543846625,0.3844171596823598
spiking_vgg16_bn,training,16,251.1979217529297,160.74346923828125,139.85476684570312,130.92649841308594,1.06817375275905,1.0673472829295483,1.0694180824273112,3,1.347102681355494,1.1551279776776058
sew_resnet18,inference,64,54.2655029296875,28.8231201171875,27.86849594116211,27.35036849975586,1.0190159659147833,1.0179823243118469,1.0193460352548838,3,1.2947710061808422,0.43651138440827797
sew_resnet18,training,16,71.23227310180664,23.86952018737793,47.1355037689209,20.48097515106201,2.2979028454896926,1.7281278481107554,2.3157746469150995,0,1.3044808591823964,118.68970925401183
spikformer_ti,inference,64,60.31760025024414,34.739200592041016,35.077537536621094,32.859872817993164,1.068104315278519,1.0646736479611694,1.0707047454435292,0,1.183949105751282,1.5523696708111379
spikformer_ti,training,16,73.47254180908203,29.45793628692627,51.102272033691406,26.794575691223145,1.9051451696535309,1.225222930017918,2.0989377541418364,0,1.0820249778715225,65.13856082831641
