batch_size,eager_median_ms,compile_median_ms,compile_speedup_median,compile_speedup_min,compile_speedup_max
1,6.300512075424194,2.0221920013427734,3.147083858541739,3.0952332325467315,3.1861663621675307
2,6.26528000831604,2.418639898300171,2.6007544996976004,2.5482826760970068,2.60531877780999
4,6.294496059417725,2.4800000190734863,2.5345359219150647,2.5340944843220994,2.538103230244858
8,6.324431896209717,2.938207983970642,2.1557897710432496,2.119625044993751,2.1560787869751366
16,6.314416170120239,5.653359889984131,1.1120275538697033,1.1116815979817738,1.1194312328664293
32,12.808671951293945,12.572864055633545,1.019139881029486,1.0187553046479287,1.0191773140518139
64,27.839167594909668,27.323680877685547,1.0189524604811215,1.0185684903498509,1.0192641424034181
128,55.625967025756836,54.9407844543457,1.0122670098550857,1.0121465892101156,1.0135936942329298
